Month,Bay Bridge Crossings,Other State Bridge Crossings,Number of BART Riders,Number of Cards Used,Number of Accounts,Phone Calls,Website User Sessions,Social Media Visits,API Users,Number of Assists,Average Wait Time (Minutes),East Bay,San Francisco,San Jose,All Users
2020-04-01,1996243.0,2617992.0,25136,132165,2557973,111755,104180,67936,33617730.0,5540,9.2,8049.0,61491.0,14117.0,83657.0
2020-05-01,2673380.0,4745633.0,29878,128085,2570728,112898,141814,68181,33160225.0,5987,8.2,11558.0,107752.0,17968.0,137278.0
2020-06-01,3036424.0,5856837.0,40979,185054,2594017,136925,212059,68197,33498236.0,6862,10.1,12340.0,127410.0,17423.0,157173.0
2020-07-01,3294706.0,6290371.0,45633,199714,2626965,146088,171297,68367,35823655.0,4748,9.3,11202.0,126504.0,16370.0,154076.0
2020-08-01,3382756.0,6260897.0,46020,225855,2656740,147887,705936,69190,37631547.0,4376,10.0,9951.0,124440.0,17123.0,151514.0
2020-09-01,3282056.0,6111347.0,48838,251336,2678456,133535,205406,69239,41511353.0,4370,9.5,8528.0,118813.0,15911.0,143252.0
2020-10-01,3504554.0,5533549.0,53255,305102,2699207,131992,210104,69206,48336058.0,4764,10.6,10320.0,140922.0,15048.0,166290.0
2020-11-01,3192647.0,5887519.0,52198,302316,2721686,111511,161304,69141,50971270.0,3971,12.9,9060.0,109369.0,13635.0,132064.0
2020-12-01,3111694.0,5737554.0,45893,264500,2730221,109784,164858,69067,66960008.0,3585,10.6,6858.0,86947.0,11884.0,105689.0
2021-01-01,3041330.0,5521839.0,43012,251567,2747361,106144,174802,68821,65464340.0,3890,7.8,6299.0,84220.0,11182.0,101701.0
2021-02-01,2989816.0,5599047.0,47665,275592,2759073,105943,156663,68831,58265335.0,3809,7.2,6656.0,92094.0,11708.0,110458.0
2021-03-01,3532498.0,6559287.0,51596,327052,2804236,121903,181413,68964,67190791.0,5179,7.2,8049.0,110803.0,12440.0,131292.0
2021-04-01,3522492.0,6620209.0,57886,396139,2811980,121259,167894,68956,55619944.0,4880,8.5,9406.0,121504.0,14263.0,145173.0
2021-05-01,3671838.0,7062323.0,64934,478589,2835594,134760,190086,68536,60914361.0,4548,11.1,10877.0,143118.0,14492.0,168487.0
2021-06-01,3673837.0,7126052.0,75963,580373,2859538,140834,205533,68507,74088785.0,5264,11.6,11966.0,171670.0,13589.0,197225.0
2021-07-01,3803940.0,7357246.0,85291,670735,2885735,142426,219755,68529,87896377.0,5866,9.0,12999.0,185965.0,13555.0,212519.0
2021-08-01,3737917.0,7171602.0,92402,721733,2914140,155494,225923,68575,95109700.0,6150,9.23,14390.0,176560.0,14572.0,205552.0
2021-09-01,3618241.0,6941161.0,105997,737339,2937690,158234,208188,68738,92455734.0,5842,9.33,15238.0,182636.0,13152.0,211026.0
2021-10-01,3700292.0,7022015.0,109781,814664,2956919,159300,227173,68971,89387720.0,6352,11.54,14180.0,194648.0,11923.0,220751.0
2021-11-01,3546027.0,6801585.0,112282,788839,2973420,146281,212693,69175,83737254.0,5291,9.47,12012.0,160462.0,9927.0,182401.0
2021-12-01,3529143.0,6667872.0,102993,781866,2986581,152703,264094,69360,92543726.0,4818,9.7,8629.0,118635.0,7474.0,134738.0
2022-01-01,3325322.0,6025847.0,85463,619896,3001634,137647,198949,69492,104847902.0,5164,10.56,9477.0,133552.0,6680.0,149709.0
2022-02-01,3286568.0,6036446.0,105374,696988,3015047,141983,199247,69695,91350728.0,5013,10.01,11855.0,151680.0,7615.0,171150.0
2022-03-01,3717879.0,6853492.0,124094,845803,3033972,160060,213263,69934,106990963.0,5710,11.12,13429.0,180821.0,8886.0,203136.0
2022-04-01,3634689.0,6708990.0,132181,924212,3059943,149399,203498,69987,101938322.0,5314,10.33,14681.0,195197.0,6405.0,216283.0
2022-05-01,3729564.0,6956649.0,135824,986216,3075592,158655,218356,70123,95687599.0,6017,9.23,15202.0,210115.0,5660.0,230997.0
2022-06-01,3622401.0,6847223.0,140564,1071592,3079315,161859,228392,70416,107717785.0,5982,10.9,15417.0,232779.0,5593.0,253789.0
2022-07-01,3739359.0,6902801.0,133858,994075,3098377,151695,203750,70716,113617402.0,5447,14.86,15492.0,219083.0,5451.0,240026.0
2022-08-01,3803975.0,7139527.0,144008,1090963,3115082,171825,244062,70894,114912515.0,5546,11.51,16002.0,242739.0,5478.0,264219.0
2022-09-01,3649505.0,6864207.0,161902,1117425,3127768,165683,228147,71146,117480113.0,5396,15.54,16142.0,249838.0,5204.0,271184.0
2022-10-01,3754261.0,7114002.0,159099,1101357,3144427,172321,206318,71128,118597905.0,6325,14.39,16094.0,241554.0,6058.0,263706.0
2022-11-01,3513877.0,6599555.0,150242,1007699,3154888,148523,225551,70219,132323098.0,4777,10.42,11861.0,176328.0,4044.0,192233.0
2022-12-01,3513520.0,6465731.0,130283,995266,3155709,142190,293799,70471,144102654.0,4198,7.65,7805.0,125090.0,2761.0,135656.0
2023-01-01,3383633.0,5769969.0,134140,931450,3180298,155750,431573,71523,113354223.0,4736,14.55,9011.0,141860.0,2224.0,153095.0
2023-02-01,3199618.0,5364167.0,151390,951011,3193300,137753,264326,71678,104150166.0,4268,9.83,9244.0,144166.0,2935.0,156345.0
2023-03-01,3568295.0,6454883.0,151150,1023040,3204734,163189,400336,71920,115066254.0,5279,11.38,9959.0,158330.0,3037.0,171326.0
2023-04-01,3649730.0,6974515.0,159696,1072327,3217088,150510,243471,71915,117243690.0,4805,8.69,12892.0,195724.0,4045.0,212661.0
2023-05-01,3763445.0,7386359.0,159918,1099155,3229286,152236,248203,71899,117301106.0,5100,9.52,12802.0,199483.0,4076.0,216361.0
2023-06-01,3673225.0,7351625.0,158361,1134944,3243361,150509,263653,71938,105114958.0,4766,10.11,12793.0,207622.0,3800.0,224215.0
2023-07-01,3711557.0,7327483.0,154825,1118764,3258404,153251,304038,71628,120736139.0,4336,11.82,13350.0,215339.0,3472.0,232161.0
2023-08-01,3795223.0,7452672.0,166637,1212111,3275346,164830,282506,71652,126536225.0,6359,12.54,14743.0,239716.0,3605.0,258064.0
2023-09-01,3613710.0,6972622.0,172051,1162105,3288823,166253,245657,71886,122779336.0,6103,12.08,14781.0,229900.0,4356.0,249037.0
2023-10-01,3686944.0,7192921.0,171277,1205360,3298923,152141,250899,72441,126353949.0,7132,13.09,15702.0,248641.0,4289.0,268632.0
2023-11-01,3399365.0,6775420.0,165802,1125241,3308042,156436,272225,73428,123499240.0,6676,11.39,12453.0,202694.0,3871.0,219018.0
2023-12-01,3573283.0,6656119.0,144070,1137979,3316856,151261,231432,74056,128599320.0,5836,13.01,9083.0,159870.0,2882.0,171835.0
2024-01-01,3462422.0,6485811.0,151854,1062669,3329822,150555,150555,74397,129861774.0,7265,10.54,9567.0,176751.0,2846.0,189164.0
